state,city,city_ibge_code
BA,Baianópolis,2902500
BA,Baixa Grande,2902609
BA,Banzaê,2902658
BA,Barra,2902708
BA,Barra da Estiva,2902807
BA,Barra do Choça,2902906
BA,Barra do Mendes,2903003
BA,Barra do Rocha,2903102
BA,Barreiras,2903201
BA,Barro Alto,2903235
BA,Barro Preto,2903300
BA,Barrocas,2903276
BA,Belmonte,2903409
BA,Belo Campo,2903508
BA,Biritinga,2903607
BA,Boa Nova,2903706
BA,Boa Vista do Tupim,2903805
BA,Bom Jesus da Lapa,2903904
BA,Bom Jesus da Serra,2903953
BA,Boninal,2904001
BA,Bonito,2904050
BA,Boquira,2904100
BA,Botuporã,2904209
BA,Brejões,2904308
BA,Brejolândia,2904407
BA,Brotas de Macaúbas,2904506
BA,Brumado,2904605
BA,Buerarema,2904704
BA,Buritirama,2904753
BA,Caatiba,2904803
BA,Cabaceiras do Paraguaçu,2904852
BA,Cachoeira,2904902
BA,Caculé,2905008
BA,Caém,2905107
BA,Caetanos,2905156
BA,Caetité,2905206
BA,Cafarnaum,2905305
BA,Cairu,2905404
BA,Caldeirão Grande,2905503
BA,Camacan,2905602
BA,Camaçari,2905701
BA,Camamu,2905800
BA,Campo Alegre de Lourdes,2905909
BA,Campo Formoso,2906006
BA,Canápolis,2906105
BA,Canarana,2906204
BA,Canavieiras,2906303
BA,Candeal,2906402
BA,Candeias,2906501
BA,Candiba,2906600
BA,Cândido Sales,2906709
BA,Cansanção,2906808
BA,Canudos,2906824
BA,Capela do Alto Alegre,2906857
BA,Capim Grosso,2906873
BA,Caraíbas,2906899
BA,Caravelas,2906907
BA,Cardeal da Silva,2907004
BA,Carinhanha,2907103
BA,Casa Nova,2907202
BA,Castro Alves,2907301
BA,Catolândia,2907400
BA,Catu,2907509
BA,Caturama,2907558
BA,Central,2907608
BA,Chorrochó,2907707
BA,Cícero Dantas,2907806
BA,Cipó,2907905
BA,Coaraci,2908002
BA,Cocos,2908101
BA,Conceição da Feira,2908200
BA,Conceição do Almeida,2908309
BA,Conceição do Coité,2908408
BA,Conceição do Jacuípe,2908507
BA,Conde,2908606
BA,Condeúba,2908705
BA,Contendas do Sincorá,2908804
BA,Coração de Maria,2908903
BA,Cordeiros,2909000
BA,Coribe,2909109
BA,Coronel João Sá,2909208
BA,Correntina,2909307
BA,Cotegipe,2909406
BA,Cravolândia,2909505
BA,Crisópolis,2909604
BA,Cristópolis,2909703
BA,Cruz das Almas,2909802
BA,Curaçá,2909901
BA,Dário Meira,2910008
BA,Dias d'Ávila,2910057
BA,Dom Basílio,2910107
BA,Dom Macedo Costa,2910206
BA,Elísio Medrado,2910305
BA,Encruzilhada,2910404
BA,Entre Rios,2910503
BA,Érico Cardoso,2900504
BA,Esplanada,2910602
BA,Euclides da Cunha,2910701
BA,Eunápolis,2910727
BA,Fátima,2910750
BA,Feira da Mata,2910776
BA,Feira de Santana,2910800
BA,Filadélfia,2910859
BA,Firmino Alves,2910909
BA,Floresta Azul,2911006
BA,Formosa do Rio Preto,2911105
BA,Gandu,2911204
BA,Gavião,2911253
BA,Gentio do Ouro,2911303
BA,Glória,2911402
BA,Gongogi,2911501
BA,Governador Mangabeira,2911600
BA,Guajeru,2911659
BA,Guanambi,2911709
BA,Guaratinga,2911808
BA,Heliópolis,2911857
BA,Iaçu,2911907
BA,Ibiassucê,2912004
BA,Ibicaraí,2912103
BA,Ibicoara,2912202
BA,Ibicuí,2912301
BA,Ibipeba,2912400
BA,Ibipitanga,2912509
BA,Ibiquera,2912608
BA,Ibirapitanga,2912707
BA,Ibirapuã,2912806
BA,Ibirataia,2912905
BA,Ibitiara,2913002
BA,Ibititá,2913101
BA,Ibotirama,2913200
BA,Ichu,2913309
BA,Igaporã,2913408
BA,Igrapiúna,2913457
BA,Iguaí,2913507
BA,Ilhéus,2913606
BA,Inhambupe,2913705
BA,Ipecaetá,2913804
BA,Ipiaú,2913903
BA,Ipirá,2914000
BA,Ipupiara,2914109
BA,Irajuba,2914208
BA,Iramaia,2914307
BA,Iraquara,2914406
BA,Irará,2914505
BA,Irecê,2914604
BA,Itabela,2914653
BA,Itaberaba,2914703
BA,Itabuna,2914802
BA,Itacaré,2914901
BA,Itaeté,2915007
BA,Itagi,2915106
BA,Itagibá,2915205
BA,Itagimirim,2915304
BA,Itaguaçu da Bahia,2915353
BA,Itaju do Colônia,2915403
BA,Itajuípe,2915502
BA,Itamaraju,2915601
BA,Itamari,2915700
BA,Itambé,2915809
BA,Itanagra,2915908
BA,Itanhém,2916005
BA,Itaparica,2916104
BA,Itapé,2916203
BA,Itapebi,2916302
BA,Itapetinga,2916401
BA,Itapicuru,2916500
BA,Itapitanga,2916609
BA,Itaquara,2916708
BA,Itarantim,2916807
BA,Itatim,2916856
BA,Itiruçu,2916906
BA,Itiúba,2917003
BA,Itororó,2917102
BA,Ituaçu,2917201
BA,Ituberá,2917300
BA,Iuiu,2917334
BA,Jaborandi,2917359
BA,Jacaraci,2917409
BA,Jacobina,2917508
BA,Jaguaquara,2917607
BA,Jaguarari,2917706
BA,Jaguaripe,2917805
BA,Jandaíra,2917904
BA,Jequié,2918001
BA,Jeremoabo,2918100
BA,Jiquiriçá,2918209
BA,Jitaúna,2918308
BA,João Dourado,2918357
BA,Juazeiro,2918407
BA,Jucuruçu,2918456
BA,Jussara,2918506
BA,Jussari,2918555
BA,Jussiape,2918605
BA,Lafaiete Coutinho,2918704
BA,Lagoa Real,2918753
BA,Laje,2918803
BA,Lajedão,2918902
BA,Lajedinho,2919009
BA,Lajedo do Tabocal,2919058
BA,Lamarão,2919108
BA,Lapão,2919157
BA,Lauro de Freitas,2919207
BA,Lençóis,2919306
BA,Licínio de Almeida,2919405
BA,Livramento de Nossa Senhora,2919504
BA,Luís Eduardo Magalhães,2919553
BA,Macajuba,2919603
BA,Macarani,2919702
BA,Macaúbas,2919801
BA,Macururé,2919900
BA,Madre de Deus,2919926
BA,Maetinga,2919959
BA,Maiquinique,2920007
BA,Mairi,2920106
BA,Malhada,2920205
BA,Malhada de Pedras,2920304
BA,Manoel Vitorino,2920403
BA,Mansidão,2920452
BA,Maracás,2920502
BA,Maragogipe,2920601
BA,Maraú,2920700
BA,Marcionílio Souza,2920809
BA,Mascote,2920908
BA,Mata de São João,2921005
BA,Matina,2921054
BA,Medeiros Neto,2921104
BA,Miguel Calmon,2921203
BA,Milagres,2921302
BA,Mirangaba,2921401
BA,Mirante,2921450
BA,Monte Santo,2921500
BA,Morpará,2921609
BA,Morro do Chapéu,2921708
BA,Mortugaba,2921807
BA,Mucugê,2921906
BA,Mucuri,2922003
BA,Mulungu do Morro,2922052
BA,Mundo Novo,2922102
BA,Muniz Ferreira,2922201
BA,Muquém do São Francisco,2922250
BA,Muritiba,2922300
BA,Mutuípe,2922409
BA,Nazaré,2922508
BA,Nilo Peçanha,2922607
BA,Nordestina,2922656
BA,Nova Canaã,2922706
BA,Nova Fátima,2922730
BA,Nova Ibiá,2922755
BA,Nova Itarana,2922805
BA,Nova Redenção,2922854
BA,Nova Soure,2922904
BA,Nova Viçosa,2923001
BA,Novo Horizonte,2923035
BA,Novo Triunfo,2923050
BA,Olindina,2923100
BA,Oliveira dos Brejinhos,2923209
BA,Ouriçangas,2923308
BA,Ourolândia,2923357
BA,Palmas de Monte Alto,2923407
BA,Palmeiras,2923506
BA,Paramirim,2923605
BA,Paratinga,2923704
BA,Paripiranga,2923803
BA,Pau Brasil,2923902
BA,Paulo Afonso,2924009
BA,Pé de Serra,2924058
BA,Pedrão,2924108
BA,Pedro Alexandre,2924207
BA,Piatã,2924306
BA,Pilão Arcado,2924405
BA,Pindaí,2924504
BA,Pindobaçu,2924603
BA,Pintadas,2924652
BA,Piraí do Norte,2924678
BA,Piripá,2924702
BA,Piritiba,2924801
BA,Planaltino,2924900
BA,Planalto,2925006
BA,Poções,2925105
BA,Pojuca,2925204
BA,Ponto Novo,2925253
BA,Porto Seguro,2925303
BA,Potiraguá,2925402
BA,Prado,2925501
BA,Presidente Dutra,2925600
BA,Presidente Jânio Quadros,2925709
BA,Presidente Tancredo Neves,2925758
BA,Queimadas,2925808
BA,Quijingue,2925907
BA,Quixabeira,2925931
BA,Rafael Jambeiro,2925956
BA,Remanso,2926004
BA,Retirolândia,2926103
BA,Riachão das Neves,2926202
BA,Riachão do Jacuípe,2926301
BA,Riacho de Santana,2926400
BA,Ribeira do Amparo,2926509
BA,Ribeira do Pombal,2926608
BA,Ribeirão do Largo,2926657
BA,Rio Real,2927002
BA,Rio de Contas,2926707
BA,Rio do Antônio,2926806
BA,Rio do Pires,2926905
BA,Rodelas,2927101
BA,Ruy Barbosa,2927200
BA,Salinas da Margarida,2927309
BA,Salvador,2927408
BA,Santa Bárbara,2927507
BA,Santa Brígida,2927606
BA,Santa Cruz Cabrália,2927705
BA,Santa Cruz da Vitória,2927804
BA,Santa Inês,2927903
BA,Santa Luzia,2928059
BA,Santa Maria da Vitória,2928109
BA,Santa Rita de Cássia,2928406
BA,Santa Teresinha,2928505
BA,Santaluz,2928000
BA,Santana,2928208
BA,Santanópolis,2928307
BA,Santo Amaro,2928604
BA,Santo Antônio de Jesus,2928703
BA,Santo Estêvão,2928802
BA,São Desidério,2928901
BA,São Domingos,2928950
BA,São Felipe,2929107
BA,São Félix,2929008
BA,São Félix do Coribe,2929057
BA,São Francisco do Conde,2929206
BA,São Gabriel,2929255
BA,São Gonçalo dos Campos,2929305
BA,São José da Vitória,2929354
BA,São José do Jacuípe,2929370
BA,São Miguel das Matas,2929404
BA,São Sebastião do Passé,2929503
BA,Sapeaçu,2929602
BA,Sátiro Dias,2929701
BA,Saubara,2929750
BA,Saúde,2929800
BA,Seabra,2929909
BA,Sebastião Laranjeiras,2930006
BA,Senhor do Bonfim,2930105
BA,Sento Sé,2930204
BA,Serra Dourada,2930303
BA,Serra Preta,2930402
BA,Serra do Ramalho,2930154
BA,Serrinha,2930501
BA,Serrolândia,2930600
BA,Simões Filho,2930709
BA,Sítio do Mato,2930758
BA,Sítio do Quinto,2930766
BA,Sobradinho,2930774
BA,Souto Soares,2930808
BA,Tabocas do Brejo Velho,2930907
BA,Tanhaçu,2931004
BA,Tanque Novo,2931053
BA,Tanquinho,2931103
BA,Taperoá,2931202
BA,Tapiramutá,2931301
BA,Teixeira de Freitas,2931350
BA,Teodoro Sampaio,2931400
BA,Teofilândia,2931509
BA,Teolândia,2931608
BA,Terra Nova,2931707
BA,Tremedal,2931806
BA,Tucano,2931905
BA,Uauá,2932002
BA,Ubaíra,2932101
BA,Ubaitaba,2932200
BA,Ubatã,2932309
BA,Uibaí,2932408
BA,Umburanas,2932457
BA,Una,2932507
BA,Urandi,2932606
BA,Uruçuca,2932705
BA,Utinga,2932804
BA,Valença,2932903
BA,Valente,2933000
BA,Várzea Nova,2933158
BA,Várzea da Roça,2933059
BA,Várzea do Poço,2933109
BA,Varzedo,2933174
BA,Vera Cruz,2933208
BA,Vereda,2933257
BA,Vitória da Conquista,2933307
BA,Wagner,2933406
BA,Wanderley,2933455
BA,Wenceslau Guimarães,2933505
BA,Xique-Xique,2933604
CE,Abaiara,2300101
CE,Acarape,2300150
CE,Acaraú,2300200
CE,Acopiara,2300309
CE,Aiuaba,2300408
CE,Alcântaras,2300507
CE,Altaneira,2300606
CE,Alto Santo,2300705
CE,Amontada,2300754
CE,Antonina do Norte,2300804
CE,Apuiarés,2300903
CE,Aquiraz,2301000
CE,Aracati,2301109
CE,Aracoiaba,2301208
CE,Ararendá,2301257
CE,Araripe,2301307
CE,Aratuba,2301406
CE,Arneiroz,2301505
CE,Assaré,2301604
CE,Aurora,2301703
CE,Baixio,2301802
CE,Banabuiú,2301851
CE,Barbalha,2301901
CE,Barreira,2301950
CE,Barro,2302008
CE,Barroquinha,2302057
CE,Baturité,2302107
CE,Beberibe,2302206
CE,Bela Cruz,2302305
CE,Boa Viagem,2302404
CE,Brejo Santo,2302503
CE,Camocim,2302602
CE,Campos Sales,2302701
CE,Canindé,2302800
CE,Capistrano,2302909
CE,Caridade,2303006
CE,Cariré,2303105
CE,Caririaçu,2303204
CE,Cariús,2303303
CE,Carnaubal,2303402
CE,Cascavel,2303501
CE,Catarina,2303600
CE,Catunda,2303659
CE,Caucaia,2303709
CE,Cedro,2303808
CE,Chaval,2303907
CE,Choró,2303931
CE,Chorozinho,2303956
CE,Coreaú,2304004
CE,Crateús,2304103
CE,Crato,2304202
CE,Croatá,2304236
CE,Cruz,2304251
CE,Deputado Irapuan Pinheiro,2304269
CE,Ereré,2304277
CE,Eusébio,2304285
CE,Farias Brito,2304301
CE,Forquilha,2304350
CE,Fortaleza,2304400
CE,Fortim,2304459
CE,Frecheirinha,2304509
CE,General Sampaio,2304608
CE,Graça,2304657
CE,Granja,2304707
CE,Granjeiro,2304806
CE,Groaíras,2304905
CE,Guaiúba,2304954
CE,Guaraciaba do Norte,2305001
CE,Guaramiranga,2305100
CE,Hidrolândia,2305209
CE,Horizonte,2305233
CE,Ibaretama,2305266
CE,Ibiapina,2305308
CE,Ibicuitinga,2305332
CE,Icapuí,2305357
CE,Icó,2305407
CE,Iguatu,2305506
CE,Independência,2305605
CE,Ipaporanga,2305654
CE,Ipaumirim,2305704
CE,Ipu,2305803
CE,Ipueiras,2305902
CE,Iracema,2306009
CE,Irauçuba,2306108
CE,Itaiçaba,2306207
CE,Itaitinga,2306256
CE,Itapajé,2306306
CE,Itapipoca,2306405
CE,Itapiúna,2306504
CE,Itarema,2306553
CE,Itatira,2306603
CE,Jaguaretama,2306702
CE,Jaguaribara,2306801
CE,Jaguaribe,2306900
CE,Jaguaruana,2307007
CE,Jardim,2307106
CE,Jati,2307205
CE,Jijoca de Jericoacoara,2307254
CE,Juazeiro do Norte,2307304
CE,Jucás,2307403
CE,Lavras da Mangabeira,2307502
CE,Limoeiro do Norte,2307601
CE,Madalena,2307635
CE,Maracanaú,2307650
CE,Maranguape,2307700
CE,Marco,2307809
CE,Martinópole,2307908
CE,Massapê,2308005
CE,Mauriti,2308104
CE,Meruoca,2308203
CE,Milagres,2308302
CE,Milhã,2308351
CE,Miraíma,2308377
CE,Missão Velha,2308401
CE,Mombaça,2308500
CE,Monsenhor Tabosa,2308609
CE,Morada Nova,2308708
CE,Moraújo,2308807
CE,Morrinhos,2308906
CE,Mucambo,2309003
CE,Mulungu,2309102
CE,Nova Olinda,2309201
CE,Nova Russas,2309300
CE,Novo Oriente,2309409
CE,Ocara,2309458
CE,Orós,2309508
CE,Pacajus,2309607
CE,Pacatuba,2309706
CE,Pacoti,2309805
CE,Pacujá,2309904
CE,Palhano,2310001
CE,Palmácia,2310100
CE,Paracuru,2310209
CE,Paraipaba,2310258
CE,Parambu,2310308
CE,Paramoti,2310407
CE,Pedra Branca,2310506
CE,Penaforte,2310605
CE,Pentecoste,2310704
CE,Pereiro,2310803
CE,Pindoretama,2310852
CE,Piquet Carneiro,2310902
CE,Pires Ferreira,2310951
CE,Poranga,2311009
CE,Porteiras,2311108
CE,Potengi,2311207
CE,Potiretama,2311231
CE,Quiterianópolis,2311264
CE,Quixadá,2311306
CE,Quixelô,2311355
CE,Quixeramobim,2311405
CE,Quixeré,2311504
CE,Redenção,2311603
CE,Reriutaba,2311702
CE,Russas,2311801
CE,Saboeiro,2311900
CE,Salitre,2311959
CE,Santa Quitéria,2312205
CE,Santana do Acaraú,2312007
CE,Santana do Cariri,2312106
CE,São Benedito,2312304
CE,São Gonçalo do Amarante,2312403
CE,São João do Jaguaribe,2312502
CE,São Luís do Curu,2312601
CE,Senador Pompeu,2312700
CE,Senador Sá,2312809
CE,Sobral,2312908
CE,Solonópole,2313005
CE,Tabuleiro do Norte,2313104
CE,Tamboril,2313203
CE,Tarrafas,2313252
CE,Tauá,2313302
CE,Tejuçuoca,2313351
CE,Tianguá,2313401
CE,Trairi,2313500
CE,Tururu,2313559
CE,Ubajara,2313609
CE,Umari,2313708
CE,Umirim,2313757
CE,Uruburetama,2313807
CE,Uruoca,2313906
CE,Varjota,2313955
CE,Várzea Alegre,2314003
CE,Viçosa do Ceará,2314102
DF,Brasília,5300108
ES,Afonso Cláudio,3200102
ES,Água Doce do Norte,3200169
ES,Águia Branca,3200136
ES,Alegre,3200201
ES,Alfredo Chaves,3200300
ES,Alto Rio Novo,3200359
ES,Anchieta,3200409
ES,Apiacá,3200508
ES,Aracruz,3200607
ES,Atilio Vivacqua,3200706
ES,Baixo Guandu,3200805
ES,Barra de São Francisco,3200904
ES,Boa Esperança,3201001
ES,Bom Jesus do Norte,3201100
ES,Brejetuba,3201159
ES,Cachoeiro de Itapemirim,3201209
ES,Cariacica,3201308
ES,Castelo,3201407
ES,Colatina,3201506
ES,Conceição da Barra,3201605
ES,Conceição do Castelo,3201704
ES,Divino de São Lourenço,3201803
ES,Domingos Martins,3201902
ES,Dores do Rio Preto,3202009
ES,Ecoporanga,3202108
ES,Fundão,3202207
ES,Governador Lindenberg,3202256
ES,Guaçuí,3202306
ES,Guarapari,3202405
ES,Ibatiba,3202454
ES,Ibiraçu,3202504
ES,Ibitirama,3202553
ES,Iconha,3202603
ES,Irupi,3202652
ES,Itaguaçu,3202702
ES,Itapemirim,3202801
ES,Itarana,3202900
ES,Iúna,3203007
ES,Jaguaré,3203056
ES,Jerônimo Monteiro,3203106
ES,João Neiva,3203130
ES,Laranja da Terra,3203163
ES,Linhares,3203205
ES,Mantenópolis,3203304
ES,Marataízes,3203320
ES,Marechal Floriano,3203346
ES,Marilândia,3203353
ES,Mimoso do Sul,3203403
ES,Montanha,3203502
ES,Mucurici,3203601
ES,Muniz Freire,3203700
ES,Muqui,3203809
ES,Nova Venécia,3203908
ES,Pancas,3204005
ES,Pedro Canário,3204054
ES,Pinheiros,3204104
ES,Piúma,3204203
ES,Ponto Belo,3204252
ES,Presidente Kennedy,3204302
ES,Rio Bananal,3204351
ES,Rio Novo do Sul,3204401
ES,Santa Leopoldina,3204500
ES,Santa Maria de Jetibá,3204559
ES,Santa Teresa,3204609
ES,São Domingos do Norte,3204658
ES,São Gabriel da Palha,3204708
ES,São José do Calçado,3204807
ES,São Mateus,3204906
ES,São Roque do Canaã,3204955
ES,Serra,3205002
ES,Sooretama,3205010
ES,Vargem Alta,3205036
ES,Venda Nova do Imigrante,3205069
ES,Viana,3205101
ES,Vila Pavão,3205150
ES,Vila Valério,3205176
ES,Vila Velha,3205200
ES,Vitória,3205309
GO,Abadia de Goiás,5200050
GO,Abadiânia,5200100
GO,Acreúna,5200134
GO,Adelândia,5200159
GO,Água Fria de Goiás,5200175
GO,Água Limpa,5200209
GO,Águas Lindas de Goiás,5200258
GO,Alexânia,5200308
GO,Aloândia,5200506
GO,Alto Horizonte,5200555
GO,Alto Paraíso de Goiás,5200605
GO,Alvorada do Norte,5200803
GO,Amaralina,5200829
GO,Americano do Brasil,5200852
GO,Amorinópolis,5200902
GO,Anápolis,5201108
GO,Anhanguera,5201207
GO,Anicuns,5201306
GO,Aparecida de Goiânia,5201405
GO,Aparecida do Rio Doce,5201454
GO,Aporé,5201504
GO,Araçu,5201603
GO,Aragarças,5201702
GO,Aragoiânia,5201801
GO,Araguapaz,5202155
GO,Arenópolis,5202353
GO,Aruanã,5202502
GO,Aurilândia,5202601
GO,Avelinópolis,5202809
GO,Baliza,5203104
GO,Barro Alto,5203203
GO,Bela Vista de Goiás,5203302
GO,Bom Jardim de Goiás,5203401
GO,Bom Jesus de Goiás,5203500
GO,Bonfinópolis,5203559
GO,Bonópolis,5203575
GO,Brazabrantes,5203609
GO,Britânia,5203807
GO,Buriti Alegre,5203906
GO,Buriti de Goiás,5203939
GO,Buritinópolis,5203962
GO,Cabeceiras,5204003
GO,Cachoeira Alta,5204102
GO,Cachoeira Dourada,5204250
GO,Cachoeira de Goiás,5204201
GO,Caçu,5204300
GO,Caiapônia,5204409
GO,Caldas Novas,5204508
GO,Caldazinha,5204557
GO,Campestre de Goiás,5204607
GO,Campinaçu,5204656
GO,Campinorte,5204706
GO,Campo Alegre de Goiás,5204805
GO,Campo Limpo de Goiás,5204854
GO,Campos Belos,5204904
GO,Campos Verdes,5204953
GO,Carmo do Rio Verde,5205000
GO,Castelândia,5205059
GO,Catalão,5205109
GO,Caturaí,5205208
GO,Cavalcante,5205307
GO,Ceres,5205406
GO,Cezarina,5205455
GO,Chapadão do Céu,5205471
GO,Cidade Ocidental,5205497
GO,Cocalzinho de Goiás,5205513
GO,Colinas do Sul,5205521
GO,Córrego do Ouro,5205703
GO,Corumbá de Goiás,5205802
GO,Corumbaíba,5205901
GO,Cristalina,5206206
GO,Cristianópolis,5206305
GO,Crixás,5206404
GO,Cromínia,5206503
GO,Cumari,5206602
GO,Damianópolis,5206701
GO,Damolândia,5206800
GO,Davinópolis,5206909
GO,Diorama,5207105
GO,Divinópolis de Goiás,5208301
GO,Doverlândia,5207253
GO,Edealina,5207352
GO,Edéia,5207402
GO,Estrela do Norte,5207501
GO,Faina,5207535
GO,Fazenda Nova,5207600
GO,Firminópolis,5207808
GO,Flores de Goiás,5207907
GO,Formosa,5208004
GO,Formoso,5208103
GO,Gameleira de Goiás,5208152
GO,Goianápolis,5208400
